Codigo_Item,Descripcion_Item,Fg_Tipo,Descripcion_Tipo_Item,Fg_Estado
00170,ANESTESIA PARA PROCEDIMIENTOS INTRAORALES INCLUYENDO BIOPSIA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00172,ANESTESIA PARA PROCEDIMIENTOS INTRAORALES INCLUYENDO BIOPSIA CORRECCIÓN DE PALADAR HENDIDO,CP,Procedimiento (CPT),1
00174,ANESTESIA PARA PROCEDIMIENTOS INTRAORALES INCLUYENDO BIOPSIA ESCISIÓN DE TUMOR RETROFARÍNGEO,CP,Procedimiento (CPT),1
00176,ANESTESIA PARA PROCEDIMIENTOS INTRAORALES INCLUYENDO BIOPSIA CIRUGÍA RADICAL,CP,Procedimiento (CPT),1
00190,ANESTESIA PARA PROCEDIMIENTOS EN HUESOS FACIALES NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00192,ANESTESIA PARA PROCEDIMIENTOS EN HUESOS FACIALES CIRUGÍA RADICAL (INCLUYENDO PROGNATISMO),CP,Procedimiento (CPT),1
00210,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00211,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES CRANIOTOMÍA O CRANIECTOMÍA PARA LA EVACUACIÓN DE HEMATOMA,CP,Procedimiento (CPT),1
00212,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES PUNCIONES EVACUADORAS SUBDURALES,CP,Procedimiento (CPT),1
00214,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES AGUJEROS DE TREPANACIÓN,CP,Procedimiento (CPT),1
00215,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES ELEVACIÓN DE FRACTURA DE CRÁNEO DEPRIMIDA EXTRADURAL (SIMPLE O COMPUESTA),CP,Procedimiento (CPT),1
00216,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES PROCEDIMIENTOS VASCULARES,CP,Procedimiento (CPT),1
00218,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES PROCEDIMIENTOS EN POSICIÓN DE SENTADO,CP,Procedimiento (CPT),1
00220,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES PROCEDIMIENTOS DE DERIVACIÓN DE LÍQUIDO RAQUÍDEO,CP,Procedimiento (CPT),1
00222,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES ELECTROCOAGULACIÓN DEL NERVIO INTRACRANEAL,CP,Procedimiento (CPT),1
00300,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO MÚSCULOS Y NERVIOS DE LA CABEZA CUELLO Y TRONCO POSTERIOR NO ESPECIFICADO DE OTRA MANERA,CP,Procedimiento (CPT),1
00320,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO TIROIDES LARINGE TRÁQUEA Y SISTEMA LINFÁTICO DEL CUELLO NO ESPECIFICADOS DE OTRA FORMA EDAD 1 AÑO O MAYOR,CP,Procedimiento (CPT),1
00322,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO TIROIDES LARINGE TRÁQUEA Y SISTEMA LINFÁTICO DEL CUELLO BIOPSIA CON AGUJA DE TIROIDES,CP,Procedimiento (CPT),1
00326,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN LA LARINGE Y LA TRÁQUEA EN NIÑOS MENORES DE 1 AÑO DE EDAD,CP,Procedimiento (CPT),1
00350,ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL CUELLO NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00352,ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL CUELLO LIGADURA SIMPLE,CP,Procedimiento (CPT),1
00400,ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES TÓRAX ANTERIOR Y PERINEO NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00402,ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES TÓRAX ANTERIOR Y PERINEO PROCEDIMIENTOS RECONSTRUCTIVOS DE MAMA (P. EJ. MAMOPLASTÍA DE REDUCCIÓN O AUMENTO COLGAJOS MUSCULARES),CP,Procedimiento (CPT),1
00404,ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES TÓRAX ANTERIOR Y PERINEO PROCEDIMIENTOS RADICALES O MODIFICADOS EN LAS MAMAS,CP,Procedimiento (CPT),1
00406,ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES TÓRAX ANTERIOR Y PERINEO PROCEDIMIENTOS RADICALES O MODIFICADOS EN LAS MAMÁS CON DISECCIÓN DE GANGLIO MAMARIO INTERNO,CP,Procedimiento (CPT),1
00410,ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES TÓRAX ANTERIOR Y PERINEO CONVERSIÓN ELÉCTRICA DE ARRITMIAS,CP,Procedimiento (CPT),1
00450,ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00452,ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA CIRUGÍA RADICAL,CP,Procedimiento (CPT),1
00454,ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA BIOPSIA DE CLAVÍCULA,CP,Procedimiento (CPT),1
00470,ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00472,ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA TORACOPLASTÍA (CUALQUIER TIPO),CP,Procedimiento (CPT),1
00474,ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA PROCEDIMIENTOS RADICALES (P. EJ. PECHO EXCAVADO EN EMBUDO),CP,Procedimiento (CPT),1
00500,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO,CP,Procedimiento (CPT),1
00520,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA) NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00522,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA) BIOPSIA CON AGUJA DE PLEURA,CP,Procedimiento (CPT),1
00524,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA) NEUMOCENTESIS,CP,Procedimiento (CPT),1
00528,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX MEDIASTINOSCOPÍA Y TORACOSCOPÍA DIAGNÓSTICA SIN USO DE UN PULMÓN DE VENTILACIÓN,CP,Procedimiento (CPT),1
00529,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX MEDIASTINOSCOPÍA Y TORACOSCOPÍA DIAGNÓSTICA CON USO DE UN PULMÓN DE VENTILACIÓN,CP,Procedimiento (CPT),1
00530,ANESTESIA PARA INSERCIÓN TRANSVENOSA DE MARCAPASOS,CP,Procedimiento (CPT),1
00532,ANESTESIA PARA ACCESO A CIRCULACIÓN VENOSA CENTRAL,CP,Procedimiento (CPT),1
00534,ANESTESIA PARA INSERCIÓN TRANSVENOSA O REEMPLAZO DE CARDIOVERSOR/DESFIBRILADOR,CP,Procedimiento (CPT),1
00537,ANESTESIA PARA PROCEDIMIENTOS ELECTROFISIOLÓGICOS CARDÍACOS INCLUYENDO ABLACIÓN POR RADIOFRECUENCIA,CP,Procedimiento (CPT),1
00539,ANESTESIA PARA RECONSTRUCCIÓN TRAQUEOBRONQUIAL,CP,Procedimiento (CPT),1
00540,ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES PLEURA DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA) NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00541,ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INCLUYEN PULMONES PLEURA DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA) UTILIZANDO VENTILACIÓN DE UN PULMÓN,CP,Procedimiento (CPT),1
00542,ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES PLEURA DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA) DECORTICACIÓN,CP,Procedimiento (CPT),1
00546,ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES PLEURA DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA) RESECCIÓN PULMONAR CON TORACOPLASTIA,CP,Procedimiento (CPT),1
00548,ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES PLEURA DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA) PROCEDIMIENTOS INTRATORÁCICOS EN LA TRÁQUEA Y BRONQUIOS,CP,Procedimiento (CPT),1
00550,ANESTESIA PARA DEBRIDACIÓN ESTERNAL,CP,Procedimiento (CPT),1
00560,ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN PERICARDIO Y GRANDES VASOS DEL TÓRAX SIN BOMBA OXIGENADORA,CP,Procedimiento (CPT),1
00561,ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN SACO PERICÁRDICO Y GRANDES VASOS DEL TÓRAX CON BOMBA DE OXIGENACIÓN EN MENORES DE UN AÑO DE EDAD,CP,Procedimiento (CPT),1
00562,ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN PERICARDIO Y GRANDES VASOS DEL TÓRAX CON BOMBA OXIGENADORA EN PERSONAS DE 1 AÑO O MAYORES PARA TODO PROCEDIMIENTO QUE NO SEA DE BYPASS CORONARIO (P. EJ. PROCEDIMIENTOS VALVULARES) O POR RE-OPERACIÓN POR BYPASS CORONARIO MÁS ALLÁ DE UN MES POSTERIOR A LA OPERACIÓN ORIGINAL,CP,Procedimiento (CPT),1
00563,ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN SACO PERICÁRDICO Y GRANDES VASOS DEL TÓRAX CON BOMBA DE OXIGENACIÓN CON PARO CIRCULATORIO HIPOTÉRMICO,CP,Procedimiento (CPT),1
00566,ANESTESIA PARA COLOCAR INJERTO DE DERIVACIÓN ARTERIAL CORONARIA DIRECTA SIN BOMBA DE OXIGENACIÓN,CP,Procedimiento (CPT),1
00567,ANESTESIA PARA COLOCAR INJERTO DE DERIVACIÓN ARTERIAL CORONARIA DIRECTA CON BOMBA DE OXIGENACIÓN,CP,Procedimiento (CPT),1
00580,ANESTESIA PARA TRASPLANTE DE CORAZÓN O TRASPLANTE DE CORAZÓN/PULMÓN,CP,Procedimiento (CPT),1
00600,ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA CERVICAL Y MÉDULA ESPINAL CERVICAL NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00604,ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA CERVICAL Y MÉDULA ESPINAL CERVICAL LAMINECTOMÍA CERVICAL POSTERIOR EN POSICIÓN DE SENTADO,CP,Procedimiento (CPT),1
00620,ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA TORÁCICA Y MÉDULA ESPINAL TORÁCICA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00622,ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA TORÁCICA Y MÉDULA ESPINAL TORÁCICA SIMPATECTOMÍA TORACOLUMBAR,CP,Procedimiento (CPT),1
00625,ANESTESIA PARA PROCEDIMIENTOS EN LA COLUMNA TORÁCICA Y MÉDULA A TRAVÉS DE ABORDAJE TRANSTORÁCICO ANTERIOR SIN UTILIZAR VENTILACIÓN DE UN PULMÓN,CP,Procedimiento (CPT),1
00626,ANESTESIA PARA PROCEDIMIENTOS EN LA COLUMNA TORÁCICA Y MÉDULA A TRAVÉS DE ABORDAJE TRANSTORÁCICO ANTERIOR UTILIZANDO VENTILACIÓN DE UN PULMÓN,CP,Procedimiento (CPT),1
00630,ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00632,ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR SIMPATECTOMÍA LUMBAR,CP,Procedimiento (CPT),1
00634,ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR QUIMIONUCLEÓLISIS,CP,Procedimiento (CPT),1
00635,ANESTESIA PARA PROCEDIMIENTOS EN LA REGIÓN LUMBAR PUNCIÓN LUMBAR DIAGNÓSTICA Y TERAPÉUTICA,CP,Procedimiento (CPT),1
00640,ANESTESIA PARA MANIPULACIÓN DE LA COLUMNA O PARA PROCEDIMIENTOS CERRADOS EN LA COLUMNA CERVICAL TORÁCICA O LUMBAR,CP,Procedimiento (CPT),1
00670,ANESTESIA PARA PROCEDIMIENTOS AMPLIOS EN EL COLUMNA VERTEBRAL Y MÉDULA ESPINAL (P. EJ. INSTRUMENTACIÓN DE COLUMNA O PROCEDIMIENTOS VASCULARES),CP,Procedimiento (CPT),1
00700,ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL ANTERIOR ALTA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00702,ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL ANTERIOR ALTA BIOPSIA PERCUTÁNEA DE HÍGADO,CP,Procedimiento (CPT),1
00730,ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL POSTERIOR ALTA,CP,Procedimiento (CPT),1
00740,ANESTESIA PARA PROCEDIMIENTOS ENDOSCÓPICOS GASTROINTESTINALES ALTOS ENDOSCOPIO INTRODUCIDO PROXIMALMENTE AL DUODENO,CP,Procedimiento (CPT),1
00750,ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO NO ESPECIFICADO DE OTRA FORMA,CP,Procedimiento (CPT),1
00752,ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO HERNIAS LUMBAR Y VENTRAL (INCISIONAL) Y/O DEHISCENCIA DE HERIDA,CP,Procedimiento (CPT),1
00754,ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO ONFALOCELE,CP,Procedimiento (CPT),1
00756,ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO CORRECCIÓN TRANSABDOMINAL DE HERNIA DIAFRAGMÁTICA,CP,Procedimiento (CPT),1
00770,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN VASOS SANGUÍNEOS MAYORES ABDOMINALES,CP,Procedimiento (CPT),1
00790,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00792,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA HEPATECTOMÍA PARCIAL O MANEJO DE HEMORRAGIA HEPÁTICA (EXCLUYENDO BIOPSIA HEPÁTICA),CP,Procedimiento (CPT),1
00794,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA PANCREATECTOMÍA PARCIAL O TOTAL (P. EJ. PROCEDIMIENTO DE WHIPPLE),CP,Procedimiento (CPT),1
00796,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA TRASPLANTE DE HÍGADO (RECEPTOR),CP,Procedimiento (CPT),1
00797,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN ABDOMEN SUPERIOR INCLUYENDO LAPAROSCOPÍA PROCEDIMIENTOS RESTRICTIVOS GÁSTRICOS PARA OBESIDAD MÓRBIDA,CP,Procedimiento (CPT),1
00800,ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL ANTERIOR BAJA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00802,ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL ANTERIOR BAJA PANICULECTOMÍA,CP,Procedimiento (CPT),1
00810,ANESTESIA PARA PROCEDIMIENTOS ENDOSCÓPICOS DE INTESTINO INFERIOR ENDOSCOPIO INTRODUCIDO DISTALMENTE AL DUODENO,CP,Procedimiento (CPT),1
00820,ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL POSTERIOR BAJA,CP,Procedimiento (CPT),1
00830,ANESTESIA PARA CORRECCIONES DE HERNIAS EN EL ABDOMEN BAJO NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00832,ANESTESIA PARA CORRECCIONES DE HERNIAS EN EL ABDOMEN BAJO HERNIAS VENTRALES E INCISIONALES,CP,Procedimiento (CPT),1
00834,ANESTESIA PARA REPARACIÓN DE HERNIA EN EL ABDOMEN INFERIOR NO ESPECIFICADA EN MENORES DE UN AÑO DE EDAD,CP,Procedimiento (CPT),1
00836,ANESTESIA PARA REPARACIÓN DE HERNIA EN EL ABDOMEN INFERIOR NO ESPECIFICADA EN INFANTES MENORES DE 37 SEMANAS DE EDAD GESTACIONAL AL NACIMIENTO Y MENORES DE 50 SEMANAS DE EDAD GESTACIONAL AL MOMENTO DE LA CIRUGÍA,CP,Procedimiento (CPT),1
00840,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO INCLUYENDO LAPAROSCOPÍA NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00842,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO INCLUYENDO LAPAROSCOPÍA AMNIOCENTESIS,CP,Procedimiento (CPT),1
00844,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO INCLUYENDO LAPAROSCOPÍA RESECCIÓN ABDOMINOPERINEAL,CP,Procedimiento (CPT),1
00846,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO INCLUYENDO LAPAROSCOPÍA HISTERECTOMÍA RADICAL,CP,Procedimiento (CPT),1
00848,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO INCLUYENDO LAPAROSCOPÍA EXENTERACIÓN PÉLVICA,CP,Procedimiento (CPT),1
00851,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN INFERIOR INCLUYENDO LAPAROSCOPÍA LIGADURA/TRANSECCIÓN DE TROMPAS,CP,Procedimiento (CPT),1
00860,ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEAL ES EN EL ABDOMEN BAJO INCLUYENDO TRACTO URINARIO NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00862,ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO INCLUYENDO TRACTO URINARIO PROCEDIMIENTOS RENALES INCLUYENDO EL TERCIO SUPERIOR DEL URÉTER O NEFRECTOMÍA DEL DONANTE,CP,Procedimiento (CPT),1
00864,ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO INCLUYENDO TRACTO URINARIO CISTECTOMÍA TOTAL,CP,Procedimiento (CPT),1
00865,ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO INCLUYENDO TRACTO URINARIO PROSTATECTOMÍA RADICAL (SUPRAPÚBICA RETROPÚBICA),CP,Procedimiento (CPT),1
00866,ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO INCLUYENDO TRACTO URINARIO ADRENALECTOMÍA,CP,Procedimiento (CPT),1
00868,ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO INCLUYENDO TRACTO URINARIO TRASPLANTE RENAL (RECEPTOR),CP,Procedimiento (CPT),1
00870,ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO INCLUYENDO TRACTO URINARIO CISTOLITOTOMÍA,CP,Procedimiento (CPT),1
00872,ANESTESIA PARA LITOTRIPSIA ONDA DE CHOQUE EXTRACORPÓREA CON BAÑO DE AGUA,CP,Procedimiento (CPT),1
00873,ANESTESIA PARA LITOTRIPSIA ONDA DE CHOQUE EXTRACORPÓREA SIN BAÑO DE AGUA,CP,Procedimiento (CPT),1
00880,ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL ABDOMEN BAJO NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00882,ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL ABDOMEN BAJO LIGADURA DE VENA CAVA INFERIOR,CP,Procedimiento (CPT),1
00902,ANESTESIA PARA PROCEDIMIENTO ANORRECTAL,CP,Procedimiento (CPT),1
00904,ANESTESIA PARA PROCEDIMIENTO PERINEAL RADICAL,CP,Procedimiento (CPT),1
00906,ANESTESIA PARA VULVECTOMÍA,CP,Procedimiento (CPT),1
00908,ANESTESIA PARA PROSTATECTOMÍA PERINEAL,CP,Procedimiento (CPT),1
00910,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA) NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00912,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA) RESECCIÓN TRANSURETRAL DE TUMORES DE VEJIGA,CP,Procedimiento (CPT),1
00914,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA) RESECCIÓN TRANSURETRAL DE PRÓSTATA,CP,Procedimiento (CPT),1
00916,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA) SANGRADO POSTERIOR A RESECCIÓN TRANSURETRAL,CP,Procedimiento (CPT),1
00918,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA) CON FRAGMENTACIÓN Y/O EXTIRPACIÓN DE CÁLCULO URETRAL,CP,Procedimiento (CPT),1
00920,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA) NO ESPECIFICADOS DE OTRA FORMA,CP,Procedimiento (CPT),1
00921,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA) VASECTOMÍA UNILATERAL O BILATERAL,CP,Procedimiento (CPT),1
00922,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA) VESÍCULAS SEMINALES,CP,Procedimiento (CPT),1
00924,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA) TESTÍCULOS NO DESCENDIDOS UNILATERAL O BILATERAL,CP,Procedimiento (CPT),1
